#,ambientTemperature(*C),ambientTemperaturePMSensor(*C),DateTime,Date,hour
386,22.98,22.12,7/10/2024 23:30,7/10/2024,23
387,22.97,22.08,7/10/2024 23:36,7/10/2024,23
388,23,22.09,7/10/2024 23:39,7/10/2024,23
389,23,22.12,7/10/2024 23:42,7/10/2024,23
390,23.04,22.28,7/10/2024 23:49,7/10/2024,23
391,23.03,22.18,7/10/2024 23:50,7/10/2024,23
392,23,22.29,7/10/2024 23:57,7/10/2024,23
393,23.03,22.31,7/10/2024 23:57,7/10/2024,23
394,23,22.33,7/11/2024 0:00,7/11/2024,0
395,23.01,22.39,7/11/2024 0:03,7/11/2024,0
396,23.06,22.41,7/11/2024 0:08,7/11/2024,0
397,23.17,22.46,7/11/2024 0:11,7/11/2024,0
398,23.11,22.47,7/11/2024 0:14,7/11/2024,0
399,23.08,22.48,7/11/2024 0:17,7/11/2024,0
400,23.04,22.51,7/11/2024 0:21,7/11/2024,0
401,23.08,22.44,7/11/2024 0:24,7/11/2024,0
402,23.01,22.31,7/11/2024 0:33,7/11/2024,0
403,23.03,22.39,7/11/2024 0:33,7/11/2024,0
404,23.01,22.27,7/11/2024 0:37,7/11/2024,0
405,22.96,22.22,7/11/2024 0:40,7/11/2024,0
406,22.97,22.22,7/11/2024 0:43,7/11/2024,0
407,22.97,22.16,7/11/2024 0:46,7/11/2024,0
408,22.93,22.14,7/11/2024 0:50,7/11/2024,0
409,22.94,22.09,7/11/2024 0:55,7/11/2024,0
410,22.91,22.1,7/11/2024 1:01,7/11/2024,1
411,22.89,22.06,7/11/2024 1:03,7/11/2024,1
412,22.91,22.03,7/11/2024 1:06,7/11/2024,1
413,22.79,21.91,7/11/2024 1:13,7/11/2024,1
414,22.8,21.77,7/11/2024 1:20,7/11/2024,1
415,22.82,21.77,7/11/2024 1:24,7/11/2024,1
416,22.77,21.75,7/11/2024 1:27,7/11/2024,1
417,22.67,21.71,7/11/2024 1:31,7/11/2024,1
418,22.6,21.66,7/11/2024 1:34,7/11/2024,1
419,22.63,21.66,7/11/2024 1:41,7/11/2024,1
420,22.66,21.68,7/11/2024 1:44,7/11/2024,1
421,22.7,21.75,7/11/2024 1:47,7/11/2024,1
422,22.58,21.7,7/11/2024 1:50,7/11/2024,1
423,22.58,21.68,7/11/2024 1:56,7/11/2024,1
424,22.5,21.65,7/11/2024 2:01,7/11/2024,2
425,22.5,21.64,7/11/2024 2:04,7/11/2024,2
426,22.56,21.63,7/11/2024 2:08,7/11/2024,2
427,22.56,21.64,7/11/2024 2:11,7/11/2024,2
428,22.56,21.64,7/11/2024 2:14,7/11/2024,2
429,22.58,21.63,7/11/2024 2:20,7/11/2024,2
430,22.53,21.61,7/11/2024 2:23,7/11/2024,2
431,22.48,21.6,7/11/2024 2:26,7/11/2024,2
432,22.55,21.6,7/11/2024 2:29,7/11/2024,2
433,22.62,21.71,7/11/2024 2:36,7/11/2024,2
434,22.55,21.61,7/11/2024 2:36,7/11/2024,2
435,22.58,21.73,7/11/2024 2:40,7/11/2024,2
436,22.56,21.76,7/11/2024 2:43,7/11/2024,2
437,22.55,21.72,7/11/2024 2:46,7/11/2024,2
438,22.55,21.69,7/11/2024 2:49,7/11/2024,2
439,22.5,21.69,7/11/2024 2:52,7/11/2024,2
440,22.5,21.7,7/11/2024 3:02,7/11/2024,3
441,22.49,21.71,7/11/2024 3:05,7/11/2024,3
442,22.53,21.73,7/11/2024 3:08,7/11/2024,3
443,22.64,21.77,7/11/2024 3:12,7/11/2024,3
444,22.6,21.8,7/11/2024 3:17,7/11/2024,3
445,22.67,21.84,7/11/2024 3:20,7/11/2024,3
446,22.64,21.84,7/11/2024 3:23,7/11/2024,3
447,22.7,21.84,7/11/2024 3:26,7/11/2024,3
448,22.71,21.9,7/11/2024 3:29,7/11/2024,3
449,22.7,21.9,7/11/2024 3:34,7/11/2024,3
450,22.7,21.94,7/11/2024 3:37,7/11/2024,3
451,22.7,21.91,7/11/2024 3:42,7/11/2024,3
452,22.63,21.88,7/11/2024 3:47,7/11/2024,3
453,22.66,21.86,7/11/2024 3:50,7/11/2024,3
454,22.64,21.83,7/11/2024 3:54,7/11/2024,3
455,22.69,21.84,7/11/2024 3:57,7/11/2024,3
456,22.69,21.85,7/11/2024 4:00,7/11/2024,4
457,22.73,21.9,7/11/2024 4:06,7/11/2024,4
458,22.74,21.91,7/11/2024 4:09,7/11/2024,4
459,22.73,21.93,7/11/2024 4:13,7/11/2024,4
460,22.74,21.95,7/11/2024 4:16,7/11/2024,4
461,22.76,21.99,7/11/2024 4:19,7/11/2024,4
